N,m,time
10,100,3.144205333
10,100,0.9689735
10,100,0.412515
10,100,0.214838084
10,100,0.23275225
10,100,0.291268958
10,100,0.187744458
10,100,0.161939875
10,100,0.119926708
10,100,0.161408083
10,200,99.2251135
10,200,36.406568084
10,200,15.705798333
10,200,20.114782625
10,200,69.929487875
10,200,1.139550042
10,200,0.494283042
10,200,25.821471584
10,200,70.408245208
10,200,96.338908708
10,300,193.719926958
10,300,1.5430425
10,300,38.258527292
10,300,46.157974458
10,300,147.293046917
10,300,191.470348375
10,300,0.4731795
10,300,0.979687584
10,300,19.232658292
10,300,0.840893625
10,400,669.235553042
10,400,43.881610167
10,400,631.523264334
10,400,52.115304167
10,400,664.221644291
10,400,0.912950917
10,400,1.265290084
10,400,36.194646875
10,400,557.324565333
10,400,22.491410083
10,500,20.080932166
10,500,2.015896292
10,500,886.904359583
10,500,16.874296625
10,500,35.429975417
10,500,90.266363125
10,500,66.158371792
10,500,95.648324541
10,500,1.858798417
10,500,938.271486625
15,100,0.134199166
15,100,0.157278375
15,100,0.089478583
15,100,0.108347667
15,100,0.071109875
15,100,0.096556916
15,100,0.148629125
15,100,0.072811041
15,100,0.093856334
15,100,0.109148958
15,200,0.273945167
15,200,0.249451291
15,200,0.205151083
15,200,0.210528875
15,200,0.218031875
15,200,0.157465291
15,200,0.196676125
15,200,0.186537334
15,200,0.230680417
15,200,0.248822542
15,300,0.443036958
15,300,0.439885792
15,300,0.282377042
15,300,0.269414375
15,300,0.236889083
15,300,0.2180865
15,300,0.43459
15,300,0.235598791
15,300,0.221240292
15,300,0.325114
15,400,0.735793583
15,400,0.544197959
15,400,0.530251583
15,400,0.467023875
15,400,0.376498458
15,400,0.282791625
15,400,0.342253625
15,400,0.413784583
15,400,0.277105584
15,400,0.469208416
15,500,0.539647416
15,500,0.448540417
15,500,0.514906083
15,500,0.578816541
15,500,0.566073625
15,500,0.377727417
15,500,0.438944542
15,500,0.404215167
15,500,0.462545583
15,500,0.682652708
20,100,0.291740291
20,100,0.105265333
20,100,0.116500208
20,100,0.1419645
20,100,0.143401125
20,100,0.114519417
20,100,0.151497459
20,100,0.080614083
20,100,0.095642625
20,100,0.139890625
20,200,0.241058833
20,200,0.235339041
20,200,0.288363875
20,200,0.299810917
20,200,0.236098667
20,200,0.303765541
20,200,0.344016292
20,200,0.220752167
20,200,0.274615084
20,200,0.353301917
20,300,0.34864525
20,300,0.607675334
20,300,0.300531792
20,300,0.273754917
20,300,0.258353834
20,300,0.313266292
20,300,0.374178375
20,300,0.40314025
20,300,0.268922416
20,300,0.326615125
20,400,0.693098667
20,400,0.498376917
20,400,0.363514042
20,400,0.380552667
20,400,0.43229975
20,400,0.530579083
20,400,0.412178541
20,400,0.566772584
20,400,0.506644791
20,400,0.483031
20,500,1.012661625
20,500,0.664321625
20,500,0.685523708
20,500,1.147307125
20,500,0.532226583
20,500,0.402230917
20,500,0.541649125
20,500,0.518676417
20,500,0.777919917
20,500,0.620475625
