N,m,time
10,100,3.922468958
10,100,1.163785667
10,100,0.432279709
10,100,0.226067333
10,100,0.2683475
10,100,0.313848666
10,100,0.204557958
10,100,0.178534333
10,100,0.126791375
10,100,0.160093708
10,200,96.070357875
10,200,35.515980833
10,200,15.407096042
10,200,19.72973075
10,200,68.183523917
10,200,1.109668834
10,200,0.483091459
10,200,25.516389709
10,200,67.659330458
10,200,97.063435833
15,100,0.112835291
15,100,0.106482042
15,100,0.099527042
15,100,0.093122167
15,100,0.081368875
15,100,0.097283916
15,100,0.111052458
15,100,0.075614459
15,100,0.085903916
15,100,0.099497542
15,200,0.412533417
15,200,0.401273083
15,200,0.344138958
15,200,0.364959375
15,200,0.39103525
15,200,0.287059958
15,200,0.365092625
15,200,0.328852959
15,200,0.391214917
15,200,0.433719209
20,100,0.253895541
20,100,0.08675425
20,100,0.111837583
20,100,0.140938709
20,100,0.141851334
20,100,0.107279542
20,100,0.144966417
20,100,0.086746625
20,100,0.091876209
20,100,0.13302
20,200,0.368411917
20,200,0.423433667
20,200,0.516505625
20,200,0.527571666
20,200,0.411111833
20,200,0.526273666
20,200,0.616374875
20,200,0.398675667
20,200,0.484000334
20,200,0.636054625
