seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination
2;600;10;10.0;1.063;-0.11830327945203957;-70.98196767122374;0.0010819238182343538;0.009145340883580225;192;22;OPTIMAL
3;600;10;10.0;31.53;-0.11560011750353953;-69.36007050212372;0.0011285081866938967;0.009762171622873508;623;50;OPTIMAL
4;600;10;10.0;25.813;-0.11586126067221263;-69.51675640332758;0.0011408400796319579;0.0098466050948604;539;42;OPTIMAL
5;600;10;10.0;3.23;-0.11729573236600269;-70.37743941960161;0.0011379010903325437;0.009701129507268895;293;29;OPTIMAL
6;600;10;10.0;294.93;-0.11295311196803574;-67.77186718082145;0.001110090058199481;0.009827883790520282;1925;114;OPTIMAL
7;600;10;10.0;235.288;-0.11358885660827998;-68.15331396496799;0.001077961562148358;0.009490029166028075;1304;89;OPTIMAL
8;600;10;10.0;304.835;-0.11278450250749154;-67.67070150449493;0.0011212697624936319;0.009941700655364004;1663;105;OPTIMAL
9;600;10;10.0;250.586;-0.11325427797143273;-67.95256678285963;0.0011176249579896713;0.009868280280516919;1436;89;OPTIMAL
10;600;10;10.0;158.957;-0.11406102086593206;-68.43661251955923;0.0010904751279438574;0.009560453866405489;1201;82;OPTIMAL
11;600;10;10.0;31.197;-0.11582217818014208;-69.49330690808524;0.0010956967288598268;0.009460163382143042;479;41;OPTIMAL
