seed,numberOfExperiments,numberOfParameters,N,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
3,800,10,10.0,315.0,-0.10255147136029859,-0.08792239212650585,OPTIMAL,27,0,0
3,800,10,10.0,345.0,-0.10074763890833767,-0.08792239212650585,OPTIMAL,34,0,0
3,800,10,10.0,395.0,-0.09860225080776155,-0.08792239212650585,OPTIMAL,40,0,0
3,800,10,10.0,400.0,-0.09860225080776155,-0.08792239212650585,OPTIMAL,42,0,0
3,800,10,10.0,438.0,-0.09715806685097123,-0.08792239212650585,OPTIMAL,48,0,0
3,800,10,10.0,454.0,-0.09715806685097123,-0.08792239212650585,OPTIMAL,53,0,0
3,800,10,10.0,483.0,-0.09613838657732988,-0.08792239212650585,OPTIMAL,58,0,0
3,800,10,10.0,499.0,-0.09597053341431795,-0.0881089824921993,OPTIMAL,63,0,0
3,800,10,10.0,544.0,-0.0956068208006502,-0.0881089824921993,OPTIMAL,71,0,0
3,800,10,10.0,579.0,-0.09522504736008246,-0.0881089824921993,OPTIMAL,77,0,0
3,800,10,10.0,628.0,-0.09522504736008246,-0.0881089824921993,OPTIMAL,85,0,0
3,800,10,10.0,678.0,-0.09493407491027664,-0.0881089824921993,OPTIMAL,92,0,0
3,800,10,10.0,749.0,-0.09463194218456325,-0.0881089824921993,OPTIMAL,101,0,0
3,800,10,10.0,820.0,-0.09431741866366071,-0.0881089824921993,OPTIMAL,112,0,0
3,800,10,10.0,986.0,-0.09411651679970127,-0.0881089824921993,OPTIMAL,121,0,0
3,800,10,10.0,1120.0,-0.09407131734057118,-0.0881089824921993,OPTIMAL,130,0,0
3,800,10,10.0,1289.0,-0.09401686007845338,-0.0881089824921993,OPTIMAL,141,0,0
3,800,10,10.0,1464.0,-0.09380599122788141,-0.0881089824921993,OPTIMAL,151,0,0
3,800,10,10.0,1638.0,-0.09368746744720846,-0.0881089824921993,OPTIMAL,161,0,0
3,800,10,10.0,1805.0,-0.09368746744720846,-0.0881089824921993,OPTIMAL,171,0,0
3,800,10,10.0,2100.0,-0.09354987133174288,-0.0881089824921993,OPTIMAL,181,0,0
3,800,10,10.0,2360.0,-0.09344024749768992,-0.0881089824921993,OPTIMAL,195,0,0
3,800,10,10.0,2799.0,-0.09332035109721218,-0.0881089824921993,OPTIMAL,207,0,0
3,800,10,10.0,3473.0,-0.09319817213027137,-0.0881089824921993,OPTIMAL,225,0,0
3,800,10,10.0,3916.0,-0.09316741814674663,-0.0881089824921993,OPTIMAL,238,0,0
3,800,10,10.0,4602.0,-0.0930684166122099,-0.0881089824921993,OPTIMAL,248,0,0
3,800,10,10.0,5283.0,-0.09300438346426458,-0.0881089824921993,OPTIMAL,262,0,0
3,800,10,10.0,6096.0,-0.09294947441813547,-0.0881089824921993,OPTIMAL,275,0,0
3,800,10,10.0,7218.0,-0.09286688125975208,-0.0881089824921993,OPTIMAL,290,0,0
3,800,10,10.0,8449.0,-0.09281956908785151,-0.0881089824921993,OPTIMAL,307,0,0
